date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
2003-12-29,N,Michigan State*,W (17-3),21,39,53.8,156,0,23,18,0.8,0,62,174,2.8,6,4,3,13,5,53,0,3,3
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-04,,Western Illinois,W (56-17),20,42,47.6,223,1,35,-3,-0.1,0,77,220,2.9,8,3,1,12,7,41,1,4,5
2004-09-11,,Southern Mississippi,L (17-21),12,28,42.9,142,1,33,97,2.9,0,61,239,3.9,5,6,0,11,8,59,0,1,1
2004-09-18,@,Pittsburgh,W (24-17),22,45,48.9,228,1,25,30,1.2,0,70,258,3.7,11,3,1,15,11,60,1,3,4
2004-10-02,,Kansas,W (14-8),24,49,49.0,200,0,33,105,3.2,0,82,305,3.7,8,7,1,16,13,99,0,1,1
2004-10-09,@,Texas Tech,L (10-70),47,61,77.0,451,6,15,72,4.8,4,76,523,6.9,20,4,1,25,10,121,0,1,1
2004-10-16,,Baylor,W (59-27),25,40,62.5,300,2,38,100,2.6,1,78,400,5.1,15,5,2,22,8,50,1,1,2
2004-10-23,@,Kansas State,L (21-45),14,23,60.9,124,0,61,294,4.8,6,84,418,5.0,6,16,2,24,9,41,2,0,2
2004-10-30,,Missouri,W (24-3),24,56,42.9,277,0,35,51,1.5,0,91,328,3.6,13,4,2,19,6,35,1,1,2
2004-11-06,@,Iowa State,L (27-34),18,39,46.2,364,3,36,102,2.8,1,75,466,6.2,14,6,2,22,7,70,0,1,1
2004-11-13,@,Oklahoma,L (3-30),30,36,83.3,413,3,31,98,3.2,1,67,511,7.6,19,2,3,24,4,45,0,0,0
2004-11-26,,Colorado,L (20-26),18,29,62.1,222,1,48,198,4.1,1,77,420,5.5,8,11,0,19,8,57,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-03,,Maine,W (25-7),16,36,44.4,151,1,37,-6,-0.2,0,73,145,2.0,6,4,0,10,7,55,1,1,2
2005-09-10,,Wake Forest,W (31-3),12,28,42.9,117,0,52,130,2.5,0,80,247,3.1,6,10,3,19,5,48,1,3,4
